performRacecourse,performRacecourseNum,raceMonth,saleCount,saleRacecourse,saleRacecourseNum,saleValue
서울,01,202201,15278509,서울,01,198607935900
서울,01,202201,464541,제주,02,7205000200
서울,01,202201,988327,부산경남,03,8911477400
제주,02,202201,7204785,서울,01,87551335100
제주,02,202201,352646,제주,02,7517601000
제주,02,202201,366624,부산경남,03,3035226900
부산경남,03,202201,9237893,서울,01,114900631000
부산경남,03,202201,280764,제주,02,4065306000
부산경남,03,202201,607335,부산경남,03,5501637700
서울,01,202202,11343650,서울,01,149319378300
서울,01,202202,341356,제주,02,5496172400
서울,01,202202,740250,부산경남,03,6727844700
제주,02,202202,5470797,서울,01,64341333400
제주,02,202202,271013,제주,02,5820874000
제주,02,202202,281653,부산경남,03,2217585500
부산경남,03,202202,6848459,서울,01,86025861700
부산경남,03,202202,203827,제주,02,3079756300
부산경남,03,202202,463012,부산경남,03,4232860000
서울,01,202203,15747272,서울,01,216024106700
서울,01,202203,464339,제주,02,7636085300
서울,01,202203,1125812,부산경남,03,10286528800
제주,02,202203,7163095,서울,01,78816861000
제주,02,202203,350979,제주,02,6825946600
제주,02,202203,426474,부산경남,03,3097561100
부산경남,03,202203,9255394,서울,01,123295520900
부산경남,03,202203,279522,제주,02,4347662400
부산경남,03,202203,688581,부산경남,03,6544309700
서울,01,202204,18538031,서울,01,251626184000
서울,01,202204,584800,제주,02,9811094200
서울,01,202204,1341185,부산경남,03,12141963700
제주,02,202204,9598541,서울,01,116572934800
제주,02,202204,513827,제주,02,10832728800
제주,02,202204,575206,부산경남,03,4707536600
부산경남,03,202204,11209407,서울,01,147582265300
부산경남,03,202204,345874,제주,02,5537505300
부산경남,03,202204,839342,부산경남,03,7910647300
서울,01,202205,21673579,서울,01,290669031900
서울,01,202205,735333,제주,02,12190862000
서울,01,202205,1598692,부산경남,03,14780912500
제주,02,202205,8493254,서울,01,98705061600
제주,02,202205,489112,제주,02,9634745100
제주,02,202205,515036,부산경남,03,4157307100
부산경남,03,202205,12529428,서울,01,164394880900
부산경남,03,202205,420955,제주,02,6759805400
부산경남,03,202205,976662,부산경남,03,9204535600
서울,01,202206,19669749,서울,01,262853545900
서울,01,202206,681438,제주,02,11462788100
서울,01,202206,1438314,부산경남,03,13210964600
제주,02,202206,8771049,서울,01,104903176800
제주,02,202206,511185,제주,02,10724624000
제주,02,202206,540983,부산경남,03,4502044200
부산경남,03,202206,11464148,서울,01,146878446700
부산경남,03,202206,379422,제주,02,6121165300
부산경남,03,202206,899166,부산경남,03,8335740900
서울,01,202207,26364963,서울,01,360788588900
