개소수,주차장명,관할 지역본부,역,주차대수
1,서울1(KTX빌딩),서울본부,서울역,110.0
2,디지털미디어시티,서울본부,DMC역,64.0
3,수색1,서울본부,수색역,78.0
4,수색2,서울본부,수색역,108.0
5,화전,서울본부,화전역,52.0
6,능곡,서울본부,능곡역,136.0
7,백마,서울본부,백마역,35.0
8,백마역 선상,서울본부,백마역,62.0
9,일산역,서울본부,일산역,102.0
10,일산2,서울본부,일산역,51.0
11,금촌,서울본부,금촌역,141.0
12,강매,서울본부,강매역,36.0
13,문산,서울본부,문산역,102.0
14,풍산,서울본부,풍산역,44.0
15,광운대,서울본부,광운대역,90.0
16,"가능A,C",서울본부,가능역,122.0
17,가능B,서울본부,가능역,35.0
18,녹양,서울본부,녹양역,45.0
19,양주A,서울본부,양주역,35.0
20,양주B,서울본부,양주역,64.0
21,덕정,서울본부,덕정역,89.0
22,동두천,서울본부,동두천역,66.0
23,춘천,서울본부,춘천역,100.0
24,구리,서울본부,구리역,148.0
25,도농,서울본부,도농역,100.0
26,양정,서울본부,양정역,39.0
27,퇴계원,서울본부,퇴계원역,101.0
28,평내호평,서울본부,평내호평역,69.0
29,금곡,서울본부,금곡역,86.0
30,남춘천,서울본부,남춘천역,74.0
31,망우,서울본부,망우역,186.0
32,의왕,수도권광역본부,의왕역,35.0
33,병점A,수도권광역본부,병점역,62.0
34,병점B,수도권광역본부,병점역,22.0
35,세마,수도권광역본부,세마역,98.0
36,오산대A,수도권광역본부,오산대역,75.0
37,오산대B,수도권광역본부,오산대역,72.0
38,진위,수도권광역본부,진위역,60.0
39,서정리,수도권광역본부,서정리역,144.0
40,지제,수도권광역본부,지제역,118.0
41,구성,수도권광역본부,구성역,166.0
42,오목천역,수도권광역본부,오목천역,82.0
43,고색,수도권광역본부,고색역,51.0
44,광명A,수도권광역본부,광명역,984.0
45,오류동,수도권광역본부,오류동역,80.0
46,중앙,수도권광역본부,중앙역,81.0
47,고잔,수도권광역본부,고잔역,57.0
48,신길온천,수도권광역본부,신길온천역,85.0
49,정왕A,수도권광역본부,정왕역,127.0
50,정왕B,수도권광역본부,정왕역,177.0
51,소사,수도권광역본부,소사역,30.0
52,원인재,수도권광역본부,원인재역,45.0
53,송도,수도권광역본부,송도역,158.0
54,오이도,수도권광역본부,오이도역,83.0
55,덕소,서울본부,덕소역,63.0
56,양수,서울본부,양수역,71.0
57,양평1,서울본부,양평역,64.0
58,양평2,서울본부,양평역,48.0
59,용문1,서울본부,용문역,85.0
60,용문2,서울본부,용문역,77.0
61,용문3,서울본부,용문역,27.0
62,정동진,강원본부,정동진역,100.0
63,만종1,강원본부,만종역,95.0
64,만종2,강원본부,만종역,82.0
65,횡성,강원본부,횡성역,76.0
66,둔내,강원본부,둔내역,64.0
67,평창,강원본부,평창역,62.0
68,진부,강원본부,진부역,48.0
69,강릉1,강원본부,강릉역,194.0
70,강릉2,강원본부,강릉역,196.0
71,동해,강원본부,동해역,120.0
72,묵호,강원본부,묵호역,
73,제천역,대전충청본부,제천역,52.0
74,안동역,대구경북본부,안동역,117.0
75,삼동,수도권광역본부,삼동역,39.0
76,경기광주,수도권광역본부,경기광주역,157.0
77,초월,수도권광역본부,초월역,88.0
78,곤지암,수도권광역본부,곤지암역,72.0
79,신둔도예촌,수도권광역본부,신둔도예촌역,29.0
80,이천,수도권광역본부,이천역,154.0
81,부발,수도권광역본부,부발역,76.0
82,세종대왕릉,수도권광역본부,세종대왕릉역,33.0
83,여주,수도권광역본부,여주역,87.0
84,대전역선상,대전충청본부,대전역,353.0
85,서광장1,대전충청본부,대전역,75.0
86,동광장1,대전충청본부,대전역,164.0
87,서광장2,대전충청본부,대전역,166.0
88,동광장2,대전충청본부,대전역,102.0
89,서대전,대전충청본부,서대전역,102.0
90,천안아산(광장2),대전충청본부,천안아산역,263.0
91,천안아산(광장1),대전충청본부,천안아산역,262.0
92,천안아산(선하),대전충청본부,천안아산역,522.0
