가입일자,사용자코드,연령대코드,성별,가입 수
2020-12-01,USR_001,AGE_001,F,43
2020-12-01,USR_001,AGE_001,M,42
2020-12-01,USR_001,AGE_002,F,95
2020-12-01,USR_001,AGE_002,M,110
2020-12-01,USR_001,AGE_003,F,46
2020-12-01,USR_001,AGE_003,M,58
2020-12-01,USR_001,AGE_004,F,37
2020-12-01,USR_001,AGE_004,M,38
2020-12-01,USR_001,AGE_005,F,29
2020-12-01,USR_001,AGE_005,M,24
2020-12-01,USR_001,AGE_006,F,4
2020-12-01,USR_001,AGE_006,M,12
2020-12-01,USR_001,AGE_007,M,3
2020-12-01,USR_001,AGE_008,,825
2020-12-02,USR_001,AGE_001,F,41
2020-12-02,USR_001,AGE_001,M,56
2020-12-02,USR_001,AGE_002,F,83
2020-12-02,USR_001,AGE_002,M,78
2020-12-02,USR_001,AGE_003,F,50
2020-12-02,USR_001,AGE_003,M,56
2020-12-02,USR_001,AGE_004,F,25
2020-12-02,USR_001,AGE_004,M,24
2020-12-02,USR_001,AGE_005,F,23
2020-12-02,USR_001,AGE_005,M,23
2020-12-02,USR_001,AGE_006,F,2
2020-12-02,USR_001,AGE_006,M,7
2020-12-02,USR_001,AGE_007,F,1
2020-12-02,USR_001,AGE_007,M,2
2020-12-02,USR_001,AGE_008,,773
2020-12-03,USR_001,AGE_001,F,44
2020-12-03,USR_001,AGE_001,M,48
2020-12-03,USR_001,AGE_002,F,79
2020-12-03,USR_001,AGE_002,M,82
2020-12-03,USR_001,AGE_003,F,31
2020-12-03,USR_001,AGE_003,M,56
2020-12-03,USR_001,AGE_004,F,25
2020-12-03,USR_001,AGE_004,M,41
2020-12-03,USR_001,AGE_005,F,20
2020-12-03,USR_001,AGE_005,M,18
2020-12-03,USR_001,AGE_006,F,4
2020-12-03,USR_001,AGE_006,M,12
2020-12-03,USR_001,AGE_007,M,1
2020-12-03,USR_001,AGE_008,,741
2020-12-03,USR_001,AGE_008,M,1
2020-12-04,USR_001,AGE_001,F,40
2020-12-04,USR_001,AGE_001,M,55
2020-12-04,USR_001,AGE_002,F,91
2020-12-04,USR_001,AGE_002,M,74
2020-12-04,USR_001,AGE_003,F,38
2020-12-04,USR_001,AGE_003,M,50
2020-12-04,USR_001,AGE_004,F,23
2020-12-04,USR_001,AGE_004,M,35
2020-12-04,USR_001,AGE_005,F,5
2020-12-04,USR_001,AGE_005,M,12
2020-12-04,USR_001,AGE_006,F,5
2020-12-04,USR_001,AGE_006,M,8
2020-12-04,USR_001,AGE_007,F,1
2020-12-04,USR_001,AGE_008,,735
2020-12-04,USR_001,AGE_008,F,1
2020-12-05,USR_001,AGE_001,F,69
2020-12-05,USR_001,AGE_001,M,76
2020-12-05,USR_001,AGE_002,F,125
2020-12-05,USR_001,AGE_002,M,147
2020-12-05,USR_001,AGE_003,F,72
2020-12-05,USR_001,AGE_003,M,96
2020-12-05,USR_001,AGE_004,F,71
2020-12-05,USR_001,AGE_004,M,83
2020-12-05,USR_001,AGE_005,F,27
2020-12-05,USR_001,AGE_005,M,38
2020-12-05,USR_001,AGE_006,F,13
2020-12-05,USR_001,AGE_006,M,13
2020-12-05,USR_001,AGE_007,F,1
2020-12-05,USR_001,AGE_007,M,2
2020-12-05,USR_001,AGE_008,,733
2020-12-06,USR_001,AGE_001,F,84
2020-12-06,USR_001,AGE_001,M,109
2020-12-06,USR_001,AGE_002,F,169
2020-12-06,USR_001,AGE_002,M,195
2020-12-06,USR_001,AGE_003,F,80
2020-12-06,USR_001,AGE_003,M,115
2020-12-06,USR_001,AGE_004,F,101
2020-12-06,USR_001,AGE_004,M,91
2020-12-06,USR_001,AGE_005,F,37
2020-12-06,USR_001,AGE_005,M,42
2020-12-06,USR_001,AGE_006,F,7
2020-12-06,USR_001,AGE_006,M,15
2020-12-06,USR_001,AGE_007,F,1
2020-12-06,USR_001,AGE_007,M,2
2020-12-06,USR_001,AGE_008,,763
2020-12-06,USR_001,AGE_008,F,2
2020-12-07,USR_001,AGE_001,F,45
2020-12-07,USR_001,AGE_001,M,74
2020-12-07,USR_001,AGE_002,F,81
2020-12-07,USR_001,AGE_002,M,104
2020-12-07,USR_001,AGE_003,F,39
2020-12-07,USR_001,AGE_003,M,51
2020-12-07,USR_001,AGE_004,F,29
2020-12-07,USR_001,AGE_004,M,55
2020-12-07,USR_001,AGE_005,F,29
2020-12-07,USR_001,AGE_005,M,34
2020-12-07,USR_001,AGE_006,F,2
2020-12-07,USR_001,AGE_006,M,11
2020-12-07,USR_001,AGE_007,F,1
2020-12-07,USR_001,AGE_007,M,1
2020-12-07,USR_001,AGE_008,,140
2020-12-08,USR_001,AGE_001,F,55
2020-12-08,USR_001,AGE_001,M,78
2020-12-08,USR_001,AGE_002,F,81
