'대여일자','대여소번호','대여소','대여건수','반납건수'
'201801','108',' 서교동 사거리',2,0
'201801','1041',' 묘곡초등학교',1,1
'201801','510',' 서울숲 남문 버스정류소 옆',3,0
'201801','515',' 광양중학교 앞',1,1
'201801','300',' 정동사거리',0,1
'201801','2361',' 압구정역 교차로',2,0
'201801','2362',' 신사동 가로수길 입구',2,0
'201801','302',' 경복궁역 4번출구 뒤',4,1
'201801','2377',' 수서역 5번출구 뒤',1,1
'201801','3101',' 서대문구청',0,1
'201801','303',' 광화문역 1번출구 앞',1,1
'201801','3506',' 영동대교 북단',0,2
'201801','3508',' 화양사거리',0,1
'201801','304',' 광화문역 2번출구 앞',0,1
'201801','1336',' 성북3교 위',1,1
'201801','307',' 서울역사박물관 앞',1,0
'201801','309',' 광화문역 6번출구 옆',1,2
'201801','310',' 청계광장 옆',1,0
'201801','311',' 서울광장 옆',4,4
'201801','312',' 시청역 1번출구 뒤',2,4
'201801','313',' 서울역 광장 파출소 옆',1,1
'201801','314',' 국립현대미술관',3,4
'201801','315',' 신한은행 안국역지점 옆',4,4
'201801','316',' 종각역 1번출구 앞',1,1
'201801','318',' 광교사거리 남측',2,2
'201801','320',' 을지로입구역 4번출구 앞',6,6
'201801','321',' KEB 하나은행 본점 앞',8,9
'201801','322',' 명동성당 앞',4,2
'201801','116',' 일진아이윌아파트 옆',1,2
'201801','324',' 신세계백화점 본점 앞',5,6
'201801','327',' 낙원상가 옆',2,4
'201801','328',' 탑골공원 앞',2,0
'201801','329',' 청계2가 사거리 옆',2,0
'201801','331',' 을지로2가 사거리 북측',2,0
'201801','332',' 을지로2가 사거리 남측',4,4
'201801','111',' 상수역 2번출구 앞',2,3
'201801','334',' 종로3가역 2번출구 뒤',1,1
'201801','335',' 종로3가역 15번출구 앞',2,1
'201801','336',' 티마크 호텔 앞',9,6
'201801','338',' 세운스퀘어 앞',2,2
'201801','339',' 종로4가 사거리',2,0
'201801','341',' 혜화역 3번출구 뒤',1,0
'201801','342',' 대학로 마로니에공원',1,1
'201801','112',' 극동방송국 앞',1,1
'201801','344',' 성균관대 E하우스 앞',0,2
'201801','346',' 맥스타일 앞',6,6
'201801','347',' 동대문역사문화공원역 9번출구 앞',2,2
'201801','349',' 사직동주민센터',1,2
'201801','352',' 중앙고입구 삼거리',3,1
'201801','353',' 재동초교 앞 삼거리',2,4
'201801','354',' 포르투갈 대사관 앞',2,2
'201801','358',' 성대입구 사거리',4,2
'201801','361',' 동묘앞역 1번출구 뒤',0,1
'201801','362',' 청계8가 사거리',1,0
'201801','113',' 홍대입구역 2번출구 앞',1,0
'201801','369',' 광화문 시민열린마당',5,2
'201801','370',' 시청역(2호선) 9번출구 뒤',1,1
'201801','371',' 동대입구역 6번출구 뒤',3,3
'201801','377',' 서울역 4번출구 앞',0,1
'201801','378',' 청계7가 사거리',2,2
'201801','379',' 서울역9번출구',2,2
'201801','114',' 홍대입구역 8번출구 앞',1,6
'201801','145',' 공덕역 5번출구',0,1
'201801','146',' 마포역 1번출구 뒤',2,2
'201801','154',' 마포구청역 ',1,0
'201801','160',' 북아현동 가구거리',2,2
'201801','171',' 임광빌딩 앞',1,0
