일시,대여소,대여건수,반납건수
202102,1011. LIGA 아파트 앞,1,0
202102,102. 망원역 1번출구 앞,1,0
202102,103. 망원역 2번출구 앞,1,1
202102,1030. 미호 플랜트 앞,0,4
202102,105. 합정역 5번출구 앞,1,1
202102,106. 합정역 7번출구 앞,3,4
202102,108. 서교동 사거리,4,5
202102,111. 상수역 2번출구 앞,5,0
202102,1112. 마곡엠밸리4단지 정문,4,4
202102,112. 극동방송국 앞,1,0
202102,114. 홍대입구역 8번출구 앞,0,6
202102,1158. 가양역 8번출구,1,0
202102,116. 일진아이윌아파트 옆,0,1
202102,117. 홍은사거리,1,1
202102,118. 광흥창역 2번출구 앞,1,0
202102,1210. 롯데월드타워(잠실역2번출구 쪽),0,3
202102,1222. 잠실새내역 5번 출구 뒤,1,1
202102,1231. 잠실역 6번출구,0,2
202102,124. 서강대 정문 건너편,1,0
202102,1248. 방이초등학교,1,1
202102,1268. 몽촌토성역 1번출구 옆,1,0
202102,128. 신촌역(2호선) 1번출구 옆,0,1
202102,129. 신촌역(2호선) 6번출구 옆,1,0
202102,1295. 잠실역 8번출구,1,0
202102,130. 신촌역(2호선) 7번출구 앞,1,1
202102,1315. 고려사대부속중고 정문,1,1
202102,1321. 국민은행 종암동지점 앞,1,0
202102,1323. 월곡역 입구 육교 밑,1,0
202102,1332. 석계역 5번출구 건너편,2,0
202102,1349. 월계2교 버스정류장 앞,1,1
202102,135. 명물길 원형무대 앞,0,1
202102,1354. 고려대학교 2번출구,1,0
202102,1369. 미아사거리,1,1
202102,140. 이화여대 후문,0,2
202102,144. 공덕역 8번출구,0,1
202102,147. 마포역 4번출구 뒤,0,1
202102,1534. 북서울 꿈의 숲 동문,1,1
202102,1537. 북한산 우이역,0,2
202102,1548. 북서울 꿈의숲 서문,1,1
202102,1610. 화랑대역 2번출구 앞,1,1
202102,162. 봉원고가차도 밑,1,1
202102,1642. 서울여대 남문,1,0
202102,1677. 육군사관학교  앞,1,1
202102,1709. 쌍문역4번출구 주변,6,7
202102,1721. 창동역 2번출구 ,3,0
202102,1741. 제일강산수산입구,0,1
202102,1765.쌍문역 1번 출구(양산부인과 빌딩),2,0
202102,181. 망원초록길 입구,3,1
202102,182. 망원2빗물펌프장 앞,0,1
202102,183. 하늘채코오롱아파트 건너편,1,1
202102,1946. 구로역 광장,1,0
202102,1961. 신도림테크노근린공원,1,0
202102,201. 진미파라곤 앞,1,0
202102,202. 국민일보 앞,3,2
202102,2025. 흑석역 1번출구,1,0
202102,203. 국회의사당역 3번출구 옆,0,2
202102,2038. 동작역 7번출구,2,0
202102,207. 여의나루역 1번출구 앞,11,8
202102,209. 유진투자증권빌딩 앞,1,3
202102,210. IFC몰,0,2
202102,212. 여의도역 1번출구 옆,1,0
202102,2137. KT&G 관악지점,1,0
202102,215. 여의도고교 앞,1,2
202102,2173. 당곡사거리,0,1
202102,2189.삼성서비스센터(관악점) ,0,1
202102,220. 미성아파트 A동 앞,0,1
202102,2214. 신반포역 2번출구 앞,4,0
202102,2215. 반포종합운동장 입구,3,3
202102,2217.아크로리버뷰 부지 앞,0,1
202102,2220. 반포본동 주민센터 앞,0,1
202102,2231. 삼성타운(삼성생명) A동 맞은편,2,0
202102,2233. 서초신동아1차아파트 옆,1,0
202102,2247.섬들근린공원,1,1
202102,225. 앙카라공원 앞,0,1
202102,226. 샛강역 1번출구 앞,2,1
202102,2262. 한신16차아파트 119동 앞,3,3
202102,227. 양평2나들목 보행통로 입구,1,1
202102,2301. 현대고등학교 건너편,7,5
202102,2306. 압구정역 2번 출구 옆,2,0
202102,2311. 학동로 래미안 아파트 앞,1,0
202102,2315. 봉은사역 5번출구 옆,4,1
202102,2355. 삼성역 5~6번 출구 사이,1,0
202102,2361. 압구정역 교차로,0,3
202102,2363. 강남 을지병원 교차로,0,1
202102,2370. 한티역 3번출구,0,1
202102,2371. 한국우편사업진흥원,2,0
202102,2385. 학동역,0,1
202102,2418.봉은사역 7번 출구 ,0,1
202102,2421. 신논현역 4번출구,1,1
202102,245. 삼성생명 당산사옥 앞,2,0
202102,247. 당산역 10번출구 앞,2,0
202102,248. 초원아파트 앞,1,0
202102,249. 여의도중학교 옆,5,9
202102,2503. 반포1동 서초빌딩 앞,2,0
202102,2504. 신사역 4번출구 뒤,1,1
202102,2505. 우성아파트사거리 (기업은행앞),0,1
202102,2538.사평리 공원,0,2
202102,259. 대방역6번출구,0,1
202102,260. 여의도 마리나선착장 앞,0,1
202102,2607. 복정역 2번출구 후문 (장지치안센터),0,1
202102,2611. 송파지역자활센터 뒤,1,0
202102,2621. 한성백제역 2번 출구,1,0
202102,2641.송파역 4번출구,1,0
202102,2645.잠실나들목2(엘스아파트136동),1,1
202102,2708.강서한강자이타워 앞,0,1
202102,2715.마곡나루역 2번 출구 ,1,1
202102,2719.마곡문화공원,2,2
202102,272. 당산육갑문,1,0
202102,2720.힐스테이트에코,1,0
202102,2730.마곡메가박스 앞,0,1
202102,2737.까치산역 3번 출구,1,0
202102,282. 신한은행,1,0
202102,283. 아크로타워 스퀘어(영등포시장),1,0
202102,298.KBS 연구동 건너편,0,1
202102,299.여의도 순복음교회,4,0
202102,3002.벽산상암스마트큐브 ,1,0
202102,301. 경복궁역 7번출구 앞,1,0
202102,3010.홍대입구역 3번출구,1,1
202102,3011.경의선(노고산동),1,1
202102,302. 경복궁역 4번출구 뒤,1,0
202102,310. 청계광장 옆,1,0
202102,3101. 서대문구청,1,0
202102,3102. 연희삼거리,1,1
202102,3131.연가교 교차로,1,0
202102,316. 종각역 1번출구 앞,1,0
202102,321. KEB 하나금융그룹 명동사옥 옆,1,1
202102,324. 신세계백화점 본점 앞,0,2
202102,329. 청계2가 사거리 옆,1,2
202102,334. 종로3가역 2번출구 뒤,3,2
202102,3415.동대문역6번출구,1,1
202102,3431.로제우스 레포츠센터,2,1
202102,346. 맥스타일 앞,1,0
202102,347. 동대문역사문화공원역 9번출구 앞,4,1
202102,351. 청운초교 앞 삼거리,1,1
202102,3514. 왕십리교회옆,1,1
202102,3515. 서울숲 관리사무소,5,4
202102,3534. 건대입구역 5번출구 뒤,1,0
202102,3536. 중앙농협(자양동),1,0
202102,3541. 커먼그라운드,1,1
202102,3544.한양대역 3번 출구,0,2
202102,3545.한양대역 1번출구,1,0
202102,3552.서울숲 공영주차장앞,1,1
202102,3560.성동구 견인차량 보관소 앞,0,1
202102,3600.사근빗물펌프장 건너편,0,1
202102,361. 동묘앞역 1번출구 뒤,1,1
202102,374. 청구역 2번출구 앞,0,1
202102,375. 다산 어린이공원,1,0
202102,378. 청계7가 사거리,2,2
202102,379. 서울역9번출구,1,1
202102,385. 종각역 5번출구,1,1
