'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'2018-01-01','회원-내국인','F','~10대',7
'2018-01-01','회원-내국인','M','~10대',9
'2018-01-01','회원-내국인','F','20대',58
'2018-01-01','회원-내국인','M','20대',81
'2018-01-01','회원-내국인','F','30대',32
'2018-01-01','회원-내국인','M','30대',46
'2018-01-01','회원-내국인','F','40대',19
'2018-01-01','회원-내국인','M','40대',26
'2018-01-01','회원-내국인','F','50대',9
'2018-01-01','회원-내국인','M','50대',8
'2018-01-01','회원-내국인','F','60대',3
'2018-01-01','회원-내국인','M','60대',4
'2018-01-02','회원-내국인','F','~10대',6
'2018-01-02','회원-내국인','M','~10대',6
'2018-01-02','회원-내국인','F','20대',39
'2018-01-02','회원-내국인','M','20대',74
'2018-01-02','회원-내국인','F','30대',15
'2018-01-02','회원-내국인','M','30대',37
'2018-01-02','회원-내국인','F','40대',12
'2018-01-02','회원-내국인','M','40대',32
'2018-01-02','회원-내국인','F','50대',6
'2018-01-02','회원-내국인','M','50대',13
'2018-01-02','회원-내국인','M','60대',5
'2018-01-02','회원-내국인','F','70대~',1
'2018-01-03','회원-내국인','F','~10대',2
'2018-01-03','회원-내국인','M','~10대',3
'2018-01-03','회원-내국인','F','20대',34
'2018-01-03','회원-내국인','M','20대',35
'2018-01-03','회원-내국인','F','30대',20
'2018-01-03','회원-내국인','M','30대',24
'2018-01-03','회원-내국인','F','40대',17
'2018-01-03','회원-내국인','M','40대',40
'2018-01-03','회원-내국인','F','50대',8
'2018-01-03','회원-내국인','M','50대',18
'2018-01-03','회원-내국인','M','60대',3
'2018-01-03','회원-내국인','M','70대~',1
'2018-01-04','회원-내국인','F','~10대',3
'2018-01-04','회원-내국인','M','~10대',5
'2018-01-04','회원-내국인','F','20대',32
'2018-01-04','회원-내국인','M','20대',41
'2018-01-04','회원-내국인','F','30대',14
'2018-01-04','회원-내국인','M','30대',19
'2018-01-04','회원-내국인','F','40대',5
'2018-01-04','회원-내국인','M','40대',28
'2018-01-04','회원-내국인','F','50대',5
'2018-01-04','회원-내국인','M','50대',12
'2018-01-04','회원-내국인','F','60대',1
'2018-01-04','회원-내국인','M','60대',4
'2018-01-05','회원-내국인','F','~10대',11
'2018-01-05','회원-내국인','M','~10대',3
'2018-01-05','회원-내국인','F','20대',35
'2018-01-05','회원-내국인','M','20대',43
