가입일자,사용자코드,연령대코드,성별,가입 수
2020-10-01,USR_001,AGE_001,F, 445 
2020-10-01,USR_001,AGE_001,M, 379 
2020-10-01,USR_001,AGE_002,F," 1,209 "
2020-10-01,USR_001,AGE_002,M, 926 
2020-10-01,USR_001,AGE_003,F, 635 
2020-10-01,USR_001,AGE_003,M, 635 
2020-10-01,USR_001,AGE_004,F, 655 
2020-10-01,USR_001,AGE_004,M, 600 
2020-10-01,USR_001,AGE_005,F, 462 
2020-10-01,USR_001,AGE_005,M, 325 
2020-10-01,USR_001,AGE_006,F, 93 
2020-10-01,USR_001,AGE_006,M, 116 
2020-10-01,USR_001,AGE_007,F, 6 
2020-10-01,USR_001,AGE_007,M, 39 
2020-10-01,USR_001,AGE_008,," 2,556 "
2020-10-01,USR_001,AGE_008,F, 1 
2020-10-01,USR_001,AGE_008,M, 5 
2020-10-02,USR_001,AGE_001,F, 274 
2020-10-02,USR_001,AGE_001,M, 273 
2020-10-02,USR_001,AGE_002,F, 786 
2020-10-02,USR_001,AGE_002,M, 751 
2020-10-02,USR_001,AGE_003,F, 413 
2020-10-02,USR_001,AGE_003,M, 560 
2020-10-02,USR_001,AGE_004,F, 458 
2020-10-02,USR_001,AGE_004,M, 428 
2020-10-02,USR_001,AGE_005,F, 246 
2020-10-02,USR_001,AGE_005,M, 231 
2020-10-02,USR_001,AGE_006,F, 54 
2020-10-02,USR_001,AGE_006,M, 74 
2020-10-02,USR_001,AGE_007,F, 8 
2020-10-02,USR_001,AGE_007,M, 13 
2020-10-02,USR_001,AGE_008,," 4,523 "
2020-10-02,USR_001,AGE_008,F, 2 
2020-10-02,USR_001,AGE_008,M, 1 
2020-10-03,USR_001,AGE_001,F, 333 
2020-10-03,USR_001,AGE_001,M, 343 
2020-10-03,USR_001,AGE_002,F," 1,194 "
2020-10-03,USR_001,AGE_002,M," 1,105 "
2020-10-03,USR_001,AGE_003,F, 683 
2020-10-03,USR_001,AGE_003,M, 768 
2020-10-03,USR_001,AGE_004,F, 561 
2020-10-03,USR_001,AGE_004,M, 563 
2020-10-03,USR_001,AGE_005,F, 253 
2020-10-03,USR_001,AGE_005,M, 242 
2020-10-03,USR_001,AGE_006,F, 43 
2020-10-03,USR_001,AGE_006,M, 68 
2020-10-03,USR_001,AGE_007,F, 6 
2020-10-03,USR_001,AGE_007,M, 11 
2020-10-03,USR_001,AGE_008,," 6,142 "
2020-10-03,USR_001,AGE_008,F, 1 
2020-10-03,USR_001,AGE_008,M, 4 
2020-10-04,USR_001,AGE_001,F, 226 
2020-10-04,USR_001,AGE_001,M, 222 
2020-10-04,USR_001,AGE_002,F, 882 
2020-10-04,USR_001,AGE_002,M, 744 
2020-10-04,USR_001,AGE_003,F, 494 
2020-10-04,USR_001,AGE_003,M, 554 
2020-10-04,USR_001,AGE_004,F, 427 
2020-10-04,USR_001,AGE_004,M, 457 
2020-10-04,USR_001,AGE_005,F, 198 
2020-10-04,USR_001,AGE_005,M, 192 
2020-10-04,USR_001,AGE_006,F, 27 
2020-10-04,USR_001,AGE_006,M, 52 
2020-10-04,USR_001,AGE_007,F, 3 
2020-10-04,USR_001,AGE_007,M, 10 
2020-10-04,USR_001,AGE_008,," 6,205 "
2020-10-04,USR_001,AGE_008,F, 2 
2020-10-04,USR_001,AGE_008,M, 2 
2020-10-05,USR_001,AGE_001,F, 143 
2020-10-05,USR_001,AGE_001,M, 122 
2020-10-05,USR_001,AGE_002,F, 451 
2020-10-05,USR_001,AGE_002,M, 366 
2020-10-05,USR_001,AGE_003,F, 190 
2020-10-05,USR_001,AGE_003,M, 222 
2020-10-05,USR_001,AGE_004,F, 137 
2020-10-05,USR_001,AGE_004,M, 117 
2020-10-05,USR_001,AGE_005,F, 73 
2020-10-05,USR_001,AGE_005,M, 76 
2020-10-05,USR_001,AGE_006,F, 9 
2020-10-05,USR_001,AGE_006,M, 20 
2020-10-05,USR_001,AGE_007,F, 2 
2020-10-05,USR_001,AGE_007,M, 1 
2020-10-05,USR_001,AGE_008,," 3,194 "
2020-10-05,USR_001,AGE_008,F, 1 
2020-10-06,USR_001,AGE_001,F, 126 
2020-10-06,USR_001,AGE_001,M, 115 
2020-10-06,USR_001,AGE_002,F, 476 
2020-10-06,USR_001,AGE_002,M, 415 
2020-10-06,USR_001,AGE_003,F, 216 
2020-10-06,USR_001,AGE_003,M, 217 
2020-10-06,USR_001,AGE_004,F, 117 
2020-10-06,USR_001,AGE_004,M, 142 
2020-10-06,USR_001,AGE_005,F, 77 
2020-10-06,USR_001,AGE_005,M, 72 
2020-10-06,USR_001,AGE_006,F, 14 
2020-10-06,USR_001,AGE_006,M, 17 
2020-10-06,USR_001,AGE_007,F, 1 
2020-10-06,USR_001,AGE_007,M, 1 
2020-10-06,USR_001,AGE_008,," 3,182 "
2020-10-06,USR_001,AGE_008,F, 2 
2020-10-06,USR_001,AGE_008,M, 1 
2020-10-07,USR_001,AGE_001,F, 146 
2020-10-07,USR_001,AGE_001,M, 135 
2020-10-07,USR_001,AGE_002,F, 545 
2020-10-07,USR_001,AGE_002,M, 454 
2020-10-07,USR_001,AGE_003,F, 240 
2020-10-07,USR_001,AGE_003,M, 204 
2020-10-07,USR_001,AGE_004,F, 129 
2020-10-07,USR_001,AGE_004,M, 148 
2020-10-07,USR_001,AGE_005,F, 68 
2020-10-07,USR_001,AGE_005,M, 82 
2020-10-07,USR_001,AGE_006,F, 14 
2020-10-07,USR_001,AGE_006,M, 16 
2020-10-07,USR_001,AGE_007,M, 1 
2020-10-07,USR_001,AGE_008,," 3,199 "
2020-10-07,USR_001,AGE_008,M, 3 
2020-10-08,USR_001,AGE_001,F, 157 
2020-10-08,USR_001,AGE_001,M, 146 
2020-10-08,USR_001,AGE_002,F, 593 
2020-10-08,USR_001,AGE_002,M, 512 
2020-10-08,USR_001,AGE_003,F, 248 
2020-10-08,USR_001,AGE_003,M, 252 
2020-10-08,USR_001,AGE_004,F, 164 
2020-10-08,USR_001,AGE_004,M, 158 
2020-10-08,USR_001,AGE_005,F, 81 
2020-10-08,USR_001,AGE_005,M, 86 
2020-10-08,USR_001,AGE_006,F, 12 
2020-10-08,USR_001,AGE_006,M, 29 
2020-10-08,USR_001,AGE_007,F, 3 
2020-10-08,USR_001,AGE_007,M, 4 
2020-10-08,USR_001,AGE_008,," 4,176 "
2020-10-08,USR_001,AGE_008,F, 1 
2020-10-09,USR_001,AGE_001,F, 285 
2020-10-09,USR_001,AGE_001,M, 301 
2020-10-09,USR_001,AGE_002,F," 1,267 "
2020-10-09,USR_001,AGE_002,M, 988 
2020-10-09,USR_001,AGE_003,F, 591 
2020-10-09,USR_001,AGE_003,M, 589 
2020-10-09,USR_001,AGE_004,F, 389 
2020-10-09,USR_001,AGE_004,M, 381 
2020-10-09,USR_001,AGE_005,F, 198 
2020-10-09,USR_001,AGE_005,M, 167 
2020-10-09,USR_001,AGE_006,F, 39 
2020-10-09,USR_001,AGE_006,M, 49 
2020-10-09,USR_001,AGE_007,M, 8 
2020-10-09,USR_001,AGE_008,," 4,137 "
2020-10-09,USR_001,AGE_008,M, 1 
2020-10-10,USR_001,AGE_001,F, 259 
2020-10-10,USR_001,AGE_001,M, 209 
2020-10-10,USR_001,AGE_002,F," 1,308 "
2020-10-10,USR_001,AGE_002,M," 1,074 "
2020-10-10,USR_001,AGE_003,F, 594 
2020-10-10,USR_001,AGE_003,M, 659 
2020-10-10,USR_001,AGE_004,F, 435 
2020-10-10,USR_001,AGE_004,M, 389 
2020-10-10,USR_001,AGE_005,F, 182 
2020-10-10,USR_001,AGE_005,M, 183 
2020-10-10,USR_001,AGE_006,F, 27 
2020-10-10,USR_001,AGE_006,M, 43 
2020-10-10,USR_001,AGE_007,F, 3 
2020-10-10,USR_001,AGE_007,M, 6 
2020-10-10,USR_001,AGE_008,," 4,771 "
2020-10-10,USR_001,AGE_008,F, 1 
2020-10-10,USR_001,AGE_008,M, 2 
2020-10-11,USR_001,AGE_001,F, 211 
2020-10-11,USR_001,AGE_001,M, 213 
2020-10-11,USR_001,AGE_002,F, 929 
2020-10-11,USR_001,AGE_002,M, 884 
2020-10-11,USR_001,AGE_003,F, 490 
2020-10-11,USR_001,AGE_003,M, 503 
2020-10-11,USR_001,AGE_004,F, 423 
2020-10-11,USR_001,AGE_004,M, 417 
2020-10-11,USR_001,AGE_005,F, 193 
2020-10-11,USR_001,AGE_005,M, 173 
2020-10-11,USR_001,AGE_006,F, 29 
2020-10-11,USR_001,AGE_006,M, 48 
2020-10-11,USR_001,AGE_007,F, 2 
2020-10-11,USR_001,AGE_007,M, 9 
2020-10-11,USR_001,AGE_008,," 4,257 "
2020-10-11,USR_001,AGE_008,F, 2 
2020-10-11,USR_001,AGE_008,M, 3 
2020-10-12,USR_001,AGE_001,F, 94 
2020-10-12,USR_001,AGE_001,M, 120 
2020-10-12,USR_001,AGE_002,F, 459 
2020-10-12,USR_001,AGE_002,M, 396 
2020-10-12,USR_001,AGE_003,F, 199 
2020-10-12,USR_001,AGE_003,M, 219 
2020-10-12,USR_001,AGE_004,F, 131 
2020-10-12,USR_001,AGE_004,M, 122 
2020-10-12,USR_001,AGE_005,F, 79 
2020-10-12,USR_001,AGE_005,M, 80 
2020-10-12,USR_001,AGE_006,F, 5 
2020-10-12,USR_001,AGE_006,M, 14 
2020-10-12,USR_001,AGE_007,F, 1 
