일시,대여소,대여건수,반납건수
202007,1004. 삼성광나루아파트 버스정류장,0,1
202007,1006. 롯데캐슬 115동앞,0,1
202007,101. (구)합정동 주민센터,1,0
202007,1019. 다성이즈빌아파트(호원대 대각선 맞은편),1,0
202007,102. 망원역 1번출구 앞,6,4
202007,103. 망원역 2번출구 앞,9,7
202007,104. 합정역 1번출구 앞,5,2
202007,105. 합정역 5번출구 앞,1,2
202007,1051. 양지시장 (용성약국앞) 입구,0,1
202007,1058. 고덕숲 아이파크 1,1,1
202007,106. 합정역 7번출구 앞,10,7
202007,107. 신한은행 서교동금융센터점 앞,8,6
202007,108. 서교동 사거리,3,2
202007,109. 제일빌딩 앞,3,2
202007,1102. 방화사거리 마을버스 버스정류장,1,1
202007,1103. 방화역 4번출구앞,11,11
202007,111. 상수역 2번출구 앞,1,4
202007,112. 극동방송국 앞,3,0
202007,1120. 대림경동아파트앞,2,2
202007,113. 홍대입구역 2번출구 앞,10,9
202007,1136. 등촌2파출소,1,0
202007,114. 홍대입구역 8번출구 앞,12,6
202007,1141. 곰달래 문화복지센터 1-1,1,0
202007,115. 마스타 빌딩 앞,2,6
202007,1150. 송정역 1번출구,1,1
202007,1158. 가양역 8번출구,3,2
202007,116. 일진아이윌아파트 옆,2,0
202007,1163. 방화동강서기동대앞,0,1
202007,1169. 염창역 1번 출구,0,1
202007,117. 홍은사거리,6,5
202007,1173. 강서구청사거리(SH타워),4,4
202007,1177. 수명중?고교,1,0
202007,118. 광흥창역 2번출구 앞,2,2
202007,1180. 마곡엠밸리 15단지(1502동) 건너편,1,0
202007,1182. KBS 스포츠월드,1,1
202007,119. 서강나루 공원,4,2
202007,1197. 엠펠리체 호텔 건너편,2,0
202007,1198. LG 사이언스파크,0,2
202007,1200. 개화광역환승센터,0,1
202007,1203. 밀리아나2빌딩 앞,0,1
202007,1205. 종합운동장역 4번출구,2,1
202007,1206. 9호선종합운동장역 9번출구,2,3
202007,1209. 잠실나루역 (2번 출구 쪽),1,2
202007,121. 마포소방서 앞,2,1
202007,1210. 롯데월드타워(잠실역2번출구 쪽),4,1
202007,1213. 백토공원 앞,1,0
202007,1214. 오금역 7번 출구 인근,0,1
202007,1218. 방이역 4번출구,1,1
202007,122. 신성기사식당 앞,1,1
202007,1222. 잠실새내역 5번 출구 뒤,0,4
202007,1224. 아시아지하보도 2번 출구,3,2
202007,123. 문화촌 공원,1,1
202007,1231. 잠실역 6번출구,0,4
202007,1235. 잠실트리지움310동 옆,1,0
202007,124. 서강대 정문 건너편,1,2
202007,1248. 방이초등학교,1,1
202007,125. 서강대 남문 옆,0,2
202007,1251. 석촌역 2번출구,0,3
202007,126. 서강대 후문 옆,1,1
202007,1264. 천호역 10번 출구 앞,0,2
202007,1268. 몽촌토성역 1번출구 옆,2,2
202007,1277. 오금동 송파 참병원,1,1
202007,1278. 송파구청 교차로,2,0
202007,128. 신촌역(2호선) 1번출구 옆,2,6
202007,1289. 풍납동 자전거보관소,1,2
202007,129. 신촌역(2호선) 6번출구 옆,2,3
202007,1291. 서울체육고등학교 앞,1,0
202007,1293. 석촌호교차로 (스타벅스 앞),2,1
202007,1295. 잠실역 8번출구,1,4
202007,1296. 석촌호수교차로 (송파나루근린공원 앞),1,1
202007,130. 신촌역(2호선) 7번출구 앞,2,7
202007,1302. 한성대입구역6번출구 뒤,1,1
202007,131. 증산2교,2,2
